Year,Company ,Category,Market Cap(in B USD), Revenue , Gross Profit ,Net Income,Earning Per Share, EBITDA ,Share Holder Equity,Total Cash,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin2,Free Cash Flow per Share,Return on Tangible Equity2,Number of Employees,Inflation Rate(in US)2
2020,MCD,FOOD,200.31," $19,207.80 "," $9,752.10 "," $4,730.50 ", $6.31 ," $9,075.40 "," $(7,824.90)"," $2,470.40 ",101.00%,-4.7848,-6.05%,8.99%,1.7%,24.63%,-1.4852,-6.05%,200000,1.23%
2019,MCD,FOOD,159.89," $21,364.40 "," $11,179.40 "," $6,025.40 ", $7.88 ," $10,687.70 "," $(8,210.30)", $56.20 ,98.26%,-4.1627,-7.34%,12.68%,2.3%,28.20%,2.1046,-7.34%,205000,1.81%
2018,MCD,FOOD,148.82," $21,257.90 "," $10,832.60 "," $5,924.30 ", $7.54 ," $10,304.60 "," $(6,258.40)"," $(1,438.00)",136.31%,-4.9654,-9.47%,18.06%,2.4%,27.87%,0.8436,-9.47%,210000,2.44%
2017,MCD,FOOD,136.89," $22,820.40 "," $10,620.80 "," $5,192.30 ", $6.37 ," $10,916.10 "," $(3,268.00)", $802.40 ,184.29%,-9.0381,-15.89%,15.36%,2.0%,22.75%,-0.2793,-15.89%,235000,2.13%
2016,MCD,FOOD,137.21," $24,621.90 "," $10,204.70 "," $4,686.50 ", $5.44 ," $9,261.00 "," $(2,204.30)"," $(6,184.40)",139.80%,-11.775,-21.26%,15.11%,2.0%,19.03%,-0.21,-21.26%,375000,1.26%
2015,MCD,FOOD,101.08," $25,413.00 "," $9,789.20 "," $4,529.30 ", $4.80 ," $8,701.20 "," $7,087.90 "," $5,854.40 ",326.84%,3.4033,6.39%,11.94%,1.5%,17.82%,0.9354,6.39%,420000,0.12%
2014,MCD,FOOD,108.48," $27,441.30 "," $10,455.70 "," $4,757.80 ", $4.82 ," $9,593.70 "," $12,853.40 ", $(192.90),152.32%,1.162,3.70%,13.90%,1.7%,17.34%,0.0221,3.70%,420000,1.62%
2013,MCD,FOOD,91.19," $28,105.70 "," $10,902.70 "," $5,585.90 ", $5.55 ," $10,349.40 "," $16,009.70 ", $403.90 ,159.31%,0.8826,3.49%,15.25%,1.9%,19.87%,0.4311,3.49%,440000,1.46%
2012,MCD,FOOD,96.55," $27,567.00 "," $10,816.30 "," $5,464.80 ", $5.36 ," $10,093.10 "," $15,293.60 ", $(51.00),144.64%,0.8914,3.57%,15.44%,1.9%,19.82%,-0.3911,3.57%,440000,2.07%
2011,MCD,FOOD,88.56," $27,006.00 "," $10,686.60 "," $5,503.10 ", $5.27 ," $9,944.70 "," $14,390.20 ", $46.20 ,125.47%,0.8687,3.82%,16.68%,2.1%,20.38%,0.3369,3.82%,420000,3.16%
